Input.title,Input.body,Answer.Confidence,Unnamed: 3,Answer.reason for confidence rating,Answer.answer,rating,type of answer,Unnamed: 8,1: not related,emotional
Extreme anxiety when my partner is away from home,"If my partner goes out alone - either on foot or in the car - I have almost unbearable anxiety until he gets back or telephones me to say he's home.  While he's away it doesn't matter how much I try to concentrate on other things I constantly think of all  the possible bad scenaros.  It's an extra stress to have to hide it from him. 

Am I alone in having this problem and if not can anyone suggest ways of dealing with it?",Slightly confident,,,I too feel like this. Just try and keep calm and be rational until he gets back. Not every scenario is a worst case.,,,,,
Extreme anxiety when my partner is away from home,"If my partner goes out alone - either on foot or in the car - I have almost unbearable anxiety until he gets back or telephones me to say he's home.  While he's away it doesn't matter how much I try to concentrate on other things I constantly think of all  the possible bad scenaros.  It's an extra stress to have to hide it from him. 

Am I alone in having this problem and if not can anyone suggest ways of dealing with it?",Very confident,,Have dealt with bouts of anxiety,"Sounds like you're still experiencing some anxiety.  Yes, I have definitely have had anxiety, especially in relationships.  One thing that you can do is to try to keep as busy as possible.  Watch a movie, go on a walk, call a friend, just as long as you stay distracted.  Also, you could take a nap to pass the time.  Just realize that you will be okay and your partner can always text message you if they're not able to call, if something is wrong.  Just relax and keep your faith.",,,,,
Extreme anxiety when my partner is away from home,"If my partner goes out alone - either on foot or in the car - I have almost unbearable anxiety until he gets back or telephones me to say he's home.  While he's away it doesn't matter how much I try to concentrate on other things I constantly think of all  the possible bad scenaros.  It's an extra stress to have to hide it from him. 

Am I alone in having this problem and if not can anyone suggest ways of dealing with it?",Very confident,,,"Try doing a task that has to absorb your concentration completely, maybe something fun and creative. Do something that has a positive connotation, like drawing, painting, reading a book that is easy to read, watching a kid's movie. Stay away from anything negative, like watching the news, watching a violent movie- anything that will give your mind ideas about the 'what if' scenarios. Most of the things that we fear never come to pass.",,,,,
Extreme anxiety when my partner is away from home,"If my partner goes out alone - either on foot or in the car - I have almost unbearable anxiety until he gets back or telephones me to say he's home.  While he's away it doesn't matter how much I try to concentrate on other things I constantly think of all  the possible bad scenaros.  It's an extra stress to have to hide it from him. 

Am I alone in having this problem and if not can anyone suggest ways of dealing with it?",Somewhat confident,,I have anxiety when I am alone.,"I can sympathize with you because I also have extreme anxiety when I am alone. I imagine all sorts of things happening to my loved ones. It can worry you to death. Things I do to relax when alone. Well, I try to listen to music, I pray for protection of my loved ones, I try to do something that takes concentration so that I am distracted from my worry over my loved ones.",,,,,
Extreme anxiety when my partner is away from home,"If my partner goes out alone - either on foot or in the car - I have almost unbearable anxiety until he gets back or telephones me to say he's home.  While he's away it doesn't matter how much I try to concentrate on other things I constantly think of all  the possible bad scenaros.  It's an extra stress to have to hide it from him. 

Am I alone in having this problem and if not can anyone suggest ways of dealing with it?",Somewhat confident,,,Autistic need warm close help of partners. They tend to grow emotionally attached and develop welfare concerns for such partners even out of habit. Given their extra sensitivity they tend to fear their welfare when they are alone. Stress may divert attention from normal tasks. Best way to get over such times is to busy in cool and routine activities like knitting.,,,,,
First day back in school,"Hi. I went to my first college class this summer, and I started having a panic attack even before I got into the class room. When I finally got in, I started pouring sweat and shaking for about an hour and some change, during the entire lecture. I just couldn't control myself, and I felt extremely embarrassed about how I must have looked, covered in sweat, shaking, and looking totally out of control. So, as soon as I came home, I tried to find a forum to talk about this, and found this forum. If you have any ideas about what to do to make this better, please let me know.",Slightly confident,,,its because you are thinking that classroom is something to fear just think its a normal part of your life,,,,,
First day back in school,"Hi. I went to my first college class this summer, and I started having a panic attack even before I got into the class room. When I finally got in, I started pouring sweat and shaking for about an hour and some change, during the entire lecture. I just couldn't control myself, and I felt extremely embarrassed about how I must have looked, covered in sweat, shaking, and looking totally out of control. So, as soon as I came home, I tried to find a forum to talk about this, and found this forum. If you have any ideas about what to do to make this better, please let me know.",Slightly confident,,Completed upper division anatomy and physiology with a 4.0 at a University of California institution.,"As your heart rate increases due to stress and reaction of endocrine receptors, vasopressin is released in higher concentrations by the hypothalamus gland. This induces sweating, heart rate, metabolic rate, and rapid use of adrenaline.",,,,,
First day back in school,"Hi. I went to my first college class this summer, and I started having a panic attack even before I got into the class room. When I finally got in, I started pouring sweat and shaking for about an hour and some change, during the entire lecture. I just couldn't control myself, and I felt extremely embarrassed about how I must have looked, covered in sweat, shaking, and looking totally out of control. So, as soon as I came home, I tried to find a forum to talk about this, and found this forum. If you have any ideas about what to do to make this better, please let me know.",Very confident,,,Make sure that you stay hydrated- I've found that I feel worse when I am dehydrated. I also use Bach's Rescue Remedy to help me thru panic attacks.,,,,,
First day back in school,"Hi. I went to my first college class this summer, and I started having a panic attack even before I got into the class room. When I finally got in, I started pouring sweat and shaking for about an hour and some change, during the entire lecture. I just couldn't control myself, and I felt extremely embarrassed about how I must have looked, covered in sweat, shaking, and looking totally out of control. So, as soon as I came home, I tried to find a forum to talk about this, and found this forum. If you have any ideas about what to do to make this better, please let me know.",Very confident,,I have the same problem. Whenever a presentation or speech is due I'm always nervous which makes me perform bad. I would get real hot and my hands wouldn't stop moving.,"After doing bad on most of my presentations I realized that I couldn't continue like this. I explained to my family my problem and they offered to help. I started practicing in front of family, friends, neighbors. I also would stand up and read over and over what I was going to present for days before it was due. This made it much easier to talk and have my sentences flow easy because I read it so many times. The day my presentation was due I was very calm and confident because I knew what I was going to say and already practiced many times. I did very well and started doing better and better as I went on. Main thing is this. Practice and make eye contact. Once you finish you will have your classmates nervous because you did so well!",,,,,
First day back in school,"Hi. I went to my first college class this summer, and I started having a panic attack even before I got into the class room. When I finally got in, I started pouring sweat and shaking for about an hour and some change, during the entire lecture. I just couldn't control myself, and I felt extremely embarrassed about how I must have looked, covered in sweat, shaking, and looking totally out of control. So, as soon as I came home, I tried to find a forum to talk about this, and found this forum. If you have any ideas about what to do to make this better, please let me know.",Somewhat confident,,My sister has Asbies but im not good with helping people with social anxiety.,Don't worry it was the first day of class. It takes a long time to get over social anxiety. You need to take small steps and work your way up from that,,,,,
Haldol and Cogentin (What is your Medication)?,"Anyone here ever take Haldol or Cogentin?  Also, what is your medication of choice?  Of what are you on and do you like it?  Side effects?  Please feel free to discuss any Meds here.

Thanks

Bill",Not confident at all,,No knowledge of these medications,The question does not address for what symptoms or conditions the user is taking them. I also have no knowledge of these drugs and don't think the average person would either. The question is whether people outside of specific forums could address this question and the answer is no. You would not want random people giving out medical advice. People could always  simply google the drugs and try to offer advice but that's about all the input someone could get.,,,,,
Haldol and Cogentin (What is your Medication)?,"Anyone here ever take Haldol or Cogentin?  Also, what is your medication of choice?  Of what are you on and do you like it?  Side effects?  Please feel free to discuss any Meds here.

Thanks

Bill",Somewhat confident,,Is used to control psychotic disorders.,I know somewhat about psychotic patients,,,,,
Haldol and Cogentin (What is your Medication)?,"Anyone here ever take Haldol or Cogentin?  Also, what is your medication of choice?  Of what are you on and do you like it?  Side effects?  Please feel free to discuss any Meds here.

Thanks

Bill",Somewhat confident,,My husband takes Haldol and I have some training as a nurse so I know enough about that particular medication to discuss possible side effects.,"My husband takes haldol and the most unpleasant side effect he experienced from taking it is the dreaded 'wooden face' feeling as well as some minor sleep issues. However, it seems to work okay for what he's taking it for.",,,,,
Haldol and Cogentin (What is your Medication)?,"Anyone here ever take Haldol or Cogentin?  Also, what is your medication of choice?  Of what are you on and do you like it?  Side effects?  Please feel free to discuss any Meds here.

Thanks

Bill",Somewhat confident,,,Fixation with a medication or a set of them can be a big behavioral drawback with autistic. They may not change these for better and would scourge all opinions to defend that. There may be slight phobia of the new in attempting to change accompanied by distrust of those that suggest it. This may have prompted the question.,,,,,
Haldol and Cogentin (What is your Medication)?,"Anyone here ever take Haldol or Cogentin?  Also, what is your medication of choice?  Of what are you on and do you like it?  Side effects?  Please feel free to discuss any Meds here.

Thanks

Bill",Somewhat confident,,experienced it long ago.,"Before using haloperidol, tell your doctor if you are also on benztropine. You may need dose adjustments or special tests in order to safely use both medications together. You should notify your doctor if you have signs of bladder problems, dry mouth, stomach pain, fever, blurred vision, confusion, dizziness, or reduced heart rate.",,,,,
How do you cope with power cuts?,"Just recently, I've been having power cuts at my house and I haven't been able to post when I'm at home and I must say, it really sucked that I actually got to the point where I wanted to actually scream, shout or swear and I managed to survive 3 days of it. 

Anyways, how do you cope with power cuts?",Slightly confident,,I live with power.,"Find a book to read, go take a walk, visit people in person. Life can be fun even without power.",,,,,
How do you cope with power cuts?,"Just recently, I've been having power cuts at my house and I haven't been able to post when I'm at home and I must say, it really sucked that I actually got to the point where I wanted to actually scream, shout or swear and I managed to survive 3 days of it. 

Anyways, how do you cope with power cuts?",Very confident,,,I try to scope out a quiet neighborhood spot with wi-fi where I can sit until the power is restored! Or I just call it a day and take a long nap.,,,,,
How do you cope with power cuts?,"Just recently, I've been having power cuts at my house and I haven't been able to post when I'm at home and I must say, it really sucked that I actually got to the point where I wanted to actually scream, shout or swear and I managed to survive 3 days of it. 

Anyways, how do you cope with power cuts?",Somewhat confident,,,"I deal with it via preperation, and trying to fix the source of the issue. By preperation I mean having lots of candles or flashlights ready, and some books to keep my occupied. If the cause of the problem is outside my control, like just having a bad power company, I will often go find something to do away from my home. Go to the movies, for instance, or a friend's house. You have to take your mind off it.",,,,,
How do you cope with power cuts?,"Just recently, I've been having power cuts at my house and I haven't been able to post when I'm at home and I must say, it really sucked that I actually got to the point where I wanted to actually scream, shout or swear and I managed to survive 3 days of it. 

Anyways, how do you cope with power cuts?",Slightly confident,,,"Is this a temporary situation? if it is dont worry it will pass. If it is something that you feel will continue then be prepared. Have flashlights or candles around so you are not left in the dark and have something to do. Laptop and phone charged , a book to read or crossword puzzle ready to go. Something to pass the time until the electricity comes back on.",,,,,
How do you cope with power cuts?,"Just recently, I've been having power cuts at my house and I haven't been able to post when I'm at home and I must say, it really sucked that I actually got to the point where I wanted to actually scream, shout or swear and I managed to survive 3 days of it. 

Anyways, how do you cope with power cuts?",Somewhat confident,,i have experienced it.,"If you have a charged portable DVD player, watch a comedy, like College Road Trip. Avoid watching scary films because they will make the situation more",,,,,
Manhattan Project,"I hadn't seen the Manhattan Project in a long time. It made me laugh at how much fun they make stealing Plutonium, making a nuke, grand theft auto, and evading police look. Could this be indicative of the economic times during the 80's?",Somewhat confident,,knowlegde,The Manhattan Project was a research and development project that produced the first atomic bombs during World War II. It was led by the United States with the support of the United Kingdom and Canada.,,,,,
Manhattan Project,"I hadn't seen the Manhattan Project in a long time. It made me laugh at how much fun they make stealing Plutonium, making a nuke, grand theft auto, and evading police look. Could this be indicative of the economic times during the 80's?",Somewhat confident,,,"I can be in the way that the filming style meets typical 1980's avante garde quirkyness. Awkward music, strange hair styles, all of the 80's fashions mimicked the changing economy.",,,,,
Manhattan Project,"I hadn't seen the Manhattan Project in a long time. It made me laugh at how much fun they make stealing Plutonium, making a nuke, grand theft auto, and evading police look. Could this be indicative of the economic times during the 80's?",Not confident at all,,i know Manhattan Project(nuclear project) but the question is not clear and  filled with inappropriate contents.,"just the same thing. why the question filled with with inappropriate content like games names, i expects more detailed questions and more simple, not frank.",,,,,
Manhattan Project,"I hadn't seen the Manhattan Project in a long time. It made me laugh at how much fun they make stealing Plutonium, making a nuke, grand theft auto, and evading police look. Could this be indicative of the economic times during the 80's?",Not confident at all,,I have not seen the Manhattan Project.,"Due to me not ever seeing the Manhattan Project, I do know if it could indicative of the economic times during the 80's.",,,,,
Manhattan Project,"I hadn't seen the Manhattan Project in a long time. It made me laugh at how much fun they make stealing Plutonium, making a nuke, grand theft auto, and evading police look. Could this be indicative of the economic times during the 80's?",Somewhat confident,,I don't know if I'm answering (or thinking I can answer) the question correctly.,"Well I can infer from the way the question was presented that there were hard times, riots, and a lot of people doing whatever they wanted to do (practically chaos) during this period of time.",,,,,
Negative reactions towards Asperger's.,"So just recently, I told who I thought as a close group of peers ( my nursing clinical group and instructor) that my brother has Asperger's and I have self diagnosed myself, as well. The first reaction I got was ""you aren't going to bring in a gun and shoot everyone are you?""......... I didn't even know HOW to respond to that! I guess it was them associating what the media has posted about that kid who shot those school children. I am not prone to violence and neither is my brother. I get angry like everyone else in the world but I couldn't hurt a fly. My question is, if and when I get a diagnosis, should I even tell anyone other than family??? I am actively involved in autism awareness but so many people have the wrong idea about this! Help!",Somewhat confident,,"I've had friends talk to me before about things that were not autism or Aspergers related, but it was still a difficult topic for them to discuss and in the end, I was happy to know about the detail of their life and wanted to know more information.  I've also observed the same traits in other people as well.  I'm also confident in giving this answer due to how well written and thought out this question and topic was.","I think, if you do get a diagnosis that states you have autism or Asperger's it's really up to your own comfort level to tell others outside of your family.  I think it's a good idea for close and trusted friends to know, since it's something that's going on in your life, but that's when you're ready.  It's ok to take some time before letting people know, and I'm sure more often than not, people will be interested in learning about your experiences and will want more information regarding Asperger's.",,,,,
Negative reactions towards Asperger's.,"So just recently, I told who I thought as a close group of peers ( my nursing clinical group and instructor) that my brother has Asperger's and I have self diagnosed myself, as well. The first reaction I got was ""you aren't going to bring in a gun and shoot everyone are you?""......... I didn't even know HOW to respond to that! I guess it was them associating what the media has posted about that kid who shot those school children. I am not prone to violence and neither is my brother. I get angry like everyone else in the world but I couldn't hurt a fly. My question is, if and when I get a diagnosis, should I even tell anyone other than family??? I am actively involved in autism awareness but so many people have the wrong idea about this! Help!",Slightly confident,,"I'm only confident in that my answer is very much a non-answer, it entirely depends on how that individual feels.","I believe -- but do not know -- that it's a good idea to tell your family.  There's no obligation to tell anyone else and you should only do so if want to and are comfortable with it.  The majority of people do not believe in the stereotype portrayed on the media of Asperger's and by being 'out' with it, you would help raise awareness and remove that stereotype.",,,,,
Negative reactions towards Asperger's.,"So just recently, I told who I thought as a close group of peers ( my nursing clinical group and instructor) that my brother has Asperger's and I have self diagnosed myself, as well. The first reaction I got was ""you aren't going to bring in a gun and shoot everyone are you?""......... I didn't even know HOW to respond to that! I guess it was them associating what the media has posted about that kid who shot those school children. I am not prone to violence and neither is my brother. I get angry like everyone else in the world but I couldn't hurt a fly. My question is, if and when I get a diagnosis, should I even tell anyone other than family??? I am actively involved in autism awareness but so many people have the wrong idea about this! Help!",Very confident,,My 4 nieces and 3 nephews all have Aspergers and I know what their mothers say and do when confronted with such ignorance.,You need to react calmly and ask the offending person to look up information online about Aspergers before remarking.  My other sister-in-law has flyers she carries with her that explains Aspergers and where to get more information.,,,,,
Negative reactions towards Asperger's.,"So just recently, I told who I thought as a close group of peers ( my nursing clinical group and instructor) that my brother has Asperger's and I have self diagnosed myself, as well. The first reaction I got was ""you aren't going to bring in a gun and shoot everyone are you?""......... I didn't even know HOW to respond to that! I guess it was them associating what the media has posted about that kid who shot those school children. I am not prone to violence and neither is my brother. I get angry like everyone else in the world but I couldn't hurt a fly. My question is, if and when I get a diagnosis, should I even tell anyone other than family??? I am actively involved in autism awareness but so many people have the wrong idea about this! Help!",Very confident,,experienced it.,"I think autism, or any psychological condition for that matter, is just such a conveniently simple explanation that few people can resist it.",,,,,
Negative reactions towards Asperger's.,"So just recently, I told who I thought as a close group of peers ( my nursing clinical group and instructor) that my brother has Asperger's and I have self diagnosed myself, as well. The first reaction I got was ""you aren't going to bring in a gun and shoot everyone are you?""......... I didn't even know HOW to respond to that! I guess it was them associating what the media has posted about that kid who shot those school children. I am not prone to violence and neither is my brother. I get angry like everyone else in the world but I couldn't hurt a fly. My question is, if and when I get a diagnosis, should I even tell anyone other than family??? I am actively involved in autism awareness but so many people have the wrong idea about this! Help!",Somewhat confident,,,open your mind to your close friends then you can reduce your stress,,,,,
"Noisy neighbours making me go insane, any advice?","Recently we've got new neighbours who live above us, in an old wooden house... who seem to love having parties. This is fine... but, well to put it in perspective its currently 1.30am local time and the music and their screaming is only getting louder. My fiance doesn't seem to mind it, but it really is driving me insane. He's watching the rugby in the next room, with the tv on about full volume to ""cancel out"" their noise upstairs?  

I really don't know what to do, I've tried earplugs, headphones, even asked him if I could call noise control and he said 'You have to be more respectful of others'  

Any advice? I haven't really encountered this problem much before - happy to give ya all my love and respect  

Oh and isn't that emoticon fantastic... really want a brick wall right now lol",Somewhat confident,,"I have had, and have been, a bad neighbor in the past.","If you've given the neighbor the opportunity to improve his behavior and he still ignores your request it's time to take it up a notch and notify the authorities.  No, you're neighbors will not like you after you take that step but there's really not a whole lot they can do about it.  After a few citations they'll get the hint and either calm down or move out.",,,,,
"Noisy neighbours making me go insane, any advice?","Recently we've got new neighbours who live above us, in an old wooden house... who seem to love having parties. This is fine... but, well to put it in perspective its currently 1.30am local time and the music and their screaming is only getting louder. My fiance doesn't seem to mind it, but it really is driving me insane. He's watching the rugby in the next room, with the tv on about full volume to ""cancel out"" their noise upstairs?  

I really don't know what to do, I've tried earplugs, headphones, even asked him if I could call noise control and he said 'You have to be more respectful of others'  

Any advice? I haven't really encountered this problem much before - happy to give ya all my love and respect  

Oh and isn't that emoticon fantastic... really want a brick wall right now lol",Somewhat confident,,Personal experience,"Noisy neighbors can be very frustrating, and it's understandable that you would be bothered by your upstairs neighbors' noisy parties. First, there's a chance that they don't realize they're bothering you. Try talking to them and letting them know how you feel. If you're nervous about speaking in person, try leaving polite, respectful note for the neighbors. If that doesn't work, it may be time to involve your landlord. Just be sure to stay calm and be polite and respectful throughout.",,,,,
"Noisy neighbours making me go insane, any advice?","Recently we've got new neighbours who live above us, in an old wooden house... who seem to love having parties. This is fine... but, well to put it in perspective its currently 1.30am local time and the music and their screaming is only getting louder. My fiance doesn't seem to mind it, but it really is driving me insane. He's watching the rugby in the next room, with the tv on about full volume to ""cancel out"" their noise upstairs?  

I really don't know what to do, I've tried earplugs, headphones, even asked him if I could call noise control and he said 'You have to be more respectful of others'  

Any advice? I haven't really encountered this problem much before - happy to give ya all my love and respect  

Oh and isn't that emoticon fantastic... really want a brick wall right now lol",Very confident,,experienced it.,"I really don't know what to do, I've tried earplugs, headphones, even asked him if I could call noise control and he said 'You have to be more respectful of others'",,,,,
"Noisy neighbours making me go insane, any advice?","Recently we've got new neighbours who live above us, in an old wooden house... who seem to love having parties. This is fine... but, well to put it in perspective its currently 1.30am local time and the music and their screaming is only getting louder. My fiance doesn't seem to mind it, but it really is driving me insane. He's watching the rugby in the next room, with the tv on about full volume to ""cancel out"" their noise upstairs?  

I really don't know what to do, I've tried earplugs, headphones, even asked him if I could call noise control and he said 'You have to be more respectful of others'  

Any advice? I haven't really encountered this problem much before - happy to give ya all my love and respect  

Oh and isn't that emoticon fantastic... really want a brick wall right now lol",Somewhat confident,,I live in an apartment.,"I would definitely recommend calling noise control. Calling them would not be disrespectful, them making all that noise at 1:30AM is what is disrespectful. People are trying to sleep at that hour.",,,,,
"Noisy neighbours making me go insane, any advice?","Recently we've got new neighbours who live above us, in an old wooden house... who seem to love having parties. This is fine... but, well to put it in perspective its currently 1.30am local time and the music and their screaming is only getting louder. My fiance doesn't seem to mind it, but it really is driving me insane. He's watching the rugby in the next room, with the tv on about full volume to ""cancel out"" their noise upstairs?  

I really don't know what to do, I've tried earplugs, headphones, even asked him if I could call noise control and he said 'You have to be more respectful of others'  

Any advice? I haven't really encountered this problem much before - happy to give ya all my love and respect  

Oh and isn't that emoticon fantastic... really want a brick wall right now lol",Somewhat confident,,,"I have gone through the exact same situation. So as to fix this situation, I took every situation available to myself to make my neighbors lives ""harder"". I thwarted their wifi connections, tampered with there plants, even went as far as play almost subsonic bass noise. This led to them moving out a year later and allowing better behaved and more respectful neighbors to move in. They have since then lived about me for five years and are amazing. I live in New York City (For reference).",,,,,
PDD-NOS and dating?,"I recently went to the hospital and got psychological testing proving that I have PDD NOS. I am 23 and have only had one girlfriend and it only lasted about a week. Well recently I have started seeing a new girl. I don't know the social norms and speed for dating whatsoever. Luckily this girl is pretty laid back and knows all of this. But tonight we kissed for the first time, and she said that I was going to fast. I am confused by this. Is this a coordination problem? Or is there any way that I can get tips on this without having to practice on her and embarrassing myself? This was only the second date. So I guess it's moving along normally? She's a very experienced dater.. So I don't know what to do..? I am asking this in this forum because I asked the same thing in another forum and the moderator moved to the personality disorder forum... Which didn't make sense to me and doesn't make me happy. Hoping you guys have better feedback.",Somewhat confident,,experience,"""Pervasive Developmental Disorder"" is an umbrella term covering five diagnoses:

Autistic disorder

Asperger's syndrome

Rett syndrome

Childhood disintegrative disorder

PDD-NOS",,,,,
PDD-NOS and dating?,"I recently went to the hospital and got psychological testing proving that I have PDD NOS. I am 23 and have only had one girlfriend and it only lasted about a week. Well recently I have started seeing a new girl. I don't know the social norms and speed for dating whatsoever. Luckily this girl is pretty laid back and knows all of this. But tonight we kissed for the first time, and she said that I was going to fast. I am confused by this. Is this a coordination problem? Or is there any way that I can get tips on this without having to practice on her and embarrassing myself? This was only the second date. So I guess it's moving along normally? She's a very experienced dater.. So I don't know what to do..? I am asking this in this forum because I asked the same thing in another forum and the moderator moved to the personality disorder forum... Which didn't make sense to me and doesn't make me happy. Hoping you guys have better feedback.",Very confident,,I am a woman.,"It's okay that she said things are going too fast because she still is choosing to be around you after that.  What I would do is start by holding her hand or something very simple.  Work your way up to the kiss after a couple of more dates.  Let her feel comfortable with whatever is going on because if the woman is comfortable, everyone's comfortable.  The next time that you feel comfortable trying to kiss her, I would ask if it is okay first and go from there.",,,,,
PDD-NOS and dating?,"I recently went to the hospital and got psychological testing proving that I have PDD NOS. I am 23 and have only had one girlfriend and it only lasted about a week. Well recently I have started seeing a new girl. I don't know the social norms and speed for dating whatsoever. Luckily this girl is pretty laid back and knows all of this. But tonight we kissed for the first time, and she said that I was going to fast. I am confused by this. Is this a coordination problem? Or is there any way that I can get tips on this without having to practice on her and embarrassing myself? This was only the second date. So I guess it's moving along normally? She's a very experienced dater.. So I don't know what to do..? I am asking this in this forum because I asked the same thing in another forum and the moderator moved to the personality disorder forum... Which didn't make sense to me and doesn't make me happy. Hoping you guys have better feedback.",Somewhat confident,,,"It can be hard to know when to make a certain move in a relationship. However you should try to start appealing moreto her interests, rather than pushing for breaking physical boundaries, it might be easier to appreciate and observe the boundaries, allowing the connections to form while the two of you participate in something that has mutual interest for you. Then as she seees the interests in common, she will feel more and more comfortable with you.",,,,,
